Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EndingeIdelRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel,roundedCurrentRPM,roundedPower,roundedTorque
2024-01-31 22:18:02.291256,2352,6,836,2,6,9000,800,7496.4487,137,790.5635,554.0529,15.4187,5,100,0,0,0,1.0,7496,791,554
2024-01-31 22:15:46.094541,2352,6,836,2,6,9000,800,7499.9941,137,791.0928,554.5582,15.432,5,100,0,0,0,1.0,7500,791,555
2024-01-31 22:18:02.324861,2352,6,836,2,6,9000,800,7500.644,138,790.831,554.0523,15.4252,5,100,0,0,0,1.0,7501,791,554
2024-01-31 22:18:22.990312,2352,6,836,2,6,9000,800,7500.8262,143,0,0,-11.0205,5,0,0,0,0,1.0,7501,0,0
2024-01-31 22:18:22.907180,2352,6,836,2,6,9000,800,7503.1021,145,0,0,-11.0089,5,0,0,0,0,1.0,7503,0,0
2024-01-31 22:15:45.544611,2352,6,836,2,6,9000,800,7507.5181,133,613.3317,424.3392,1.9557,5,100,0,0,0,1.0,7508,613,424
2024-01-31 22:16:32.143340,2352,6,836,2,6,9000,800,7516.5347,136,791.6005,553.6227,15.435,5,100,0,0,0,1.0,7517,792,554
2024-01-31 22:18:02.341439,2352,6,836,2,6,9000,800,7517.6167,138,791.439,553.317,15.4274,5,100,0,0,0,1.0,7518,791,553
2024-01-31 22:16:32.210116,2352,6,836,2,6,9000,800,7520.0962,137,791.4188,552.8425,15.435,5,100,0,0,0,1.0,7520,791,553
2024-01-31 22:16:32.227140,2352,6,836,2,6,9000,800,7524.6641,137,791.6593,552.8039,15.435,5,100,0,0,0,1.0,7525,792,553
2024-01-31 22:15:45.628908,2352,6,836,2,6,9000,800,7526.4751,133,744.9395,520.3945,11.6694,5,100,0,0,0,1.0,7526,745,520
2024-01-31 22:15:46.111597,2352,6,836,2,6,9000,800,7525.9336,137,791.8044,552.9759,15.4327,5,100,0,0,0,1.0,7526,792,553
2024-01-31 22:18:22.573687,2352,6,836,2,6,9000,800,7526.0161,150,0,0,-8.3746,5,0,48,0,0,1.0,7526,0,0
2024-01-31 22:15:45.961367,2352,6,836,2,6,9000,800,7529.4126,136,791.8453,553.1525,15.4122,5,100,0,0,0,1.0,7529,792,553
2024-01-31 22:16:32.193614,2352,6,836,2,6,9000,800,7530.2852,137,791.6569,552.0939,15.435,5,100,0,0,0,1.0,7530,792,552
2024-01-31 22:18:02.358170,2352,6,836,2,6,9000,800,7532.0308,138,791.8654,552.479,15.4291,5,100,0,0,0,1.0,7532,792,552
2024-01-31 22:15:46.128075,2352,6,836,2,6,9000,800,7533.8667,137,791.904,552.2348,15.4332,5,100,0,0,0,1.0,7534,792,552
2024-01-31 22:16:32.243620,2352,6,836,2,6,9000,800,7533.9595,137,791.9592,552.3587,15.435,5,100,0,0,0,1.0,7534,792,552
2024-01-31 22:15:46.145038,2352,6,836,2,6,9000,800,7536.229,137,791.949,552.0982,15.4336,5,100,0,0,0,1.0,7536,792,552
2024-01-31 22:15:46.028441,2352,6,836,2,6,9000,800,7537.1426,136,791.4253,550.8692,15.4268,5,100,0,0,0,1.0,7537,791,551
2024-01-31 22:16:32.326836,2352,6,836,2,6,9000,800,7536.9268,138,791.9277,551.9393,15.435,5,100,0,0,0,1.0,7537,792,552
2024-01-31 22:18:01.857931,2352,6,836,2,6,9000,800,7537.3037,134,626.7911,431.0744,2.9928,5,100,0,0,0,1.0,7537,627,431
2024-01-31 22:16:32.160870,2352,6,836,2,6,9000,800,7538.6763,136,792.1969,552.2966,15.435,5,100,0,0,0,1.0,7539,792,552
2024-01-31 22:16:32.343331,2352,6,836,2,6,9000,800,7539.4453,138,792.0742,551.9713,15.435,5,100,0,0,0,1.0,7539,792,552
2024-01-31 22:16:32.260281,2352,6,836,2,6,9000,800,7542.2017,137,792.1991,551.9124,15.435,5,100,0,0,0,1.0,7542,792,552
2024-01-31 22:15:46.161503,2352,6,836,2,6,9000,800,7542.6885,137,792.1957,551.9086,15.4339,5,100,0,0,0,1.0,7543,792,552
2024-01-31 22:16:32.276971,2352,6,836,2,6,9000,800,7542.8096,137,792.1493,551.712,15.435,5,100,0,0,0,1.0,7543,792,552
2024-01-31 22:16:32.293445,2352,6,836,2,6,9000,800,7543.0806,138,792.1609,551.7073,15.435,5,100,0,0,0,1.0,7543,792,552
2024-01-31 22:16:32.310392,2352,6,836,2,6,9000,800,7543.4546,138,792.1757,551.7119,15.435,5,100,0,0,0,1.0,7543,792,552
2024-01-31 22:16:32.176886,2352,6,836,2,6,9000,800,7543.7505,136,792.1909,551.6183,15.435,5,100,0,0,0,1.0,7544,792,552
2024-01-31 22:18:02.374638,2352,6,836,2,6,9000,800,7544.5732,138,792.2269,551.7742,15.4304,5,100,0,0,0,1.0,7545,792,552
2024-01-31 22:18:22.923857,2352,6,836,2,6,9000,800,7546.4888,144,0,0,-11.0125,5,0,0,0,0,1.0,7546,0,0
2024-01-31 22:18:22.874235,2352,6,836,2,6,9000,800,7548.2246,145,0,0,-10.9982,5,0,0,0,0,1.0,7548,0,0
2024-01-31 22:16:32.359863,2352,6,836,2,6,9000,800,7548.7007,138,792.2792,551.495,15.435,5,100,0,0,0,1.0,7549,792,551
2024-01-31 22:18:01.958180,2352,6,836,2,6,9000,800,7552.8335,134,756.5636,524.3247,12.7429,5,100,0,0,0,1.0,7553,757,524
