timestamp= 2024-01-31 21:46:01.528691, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 767.0406, Speed= 0, Power= 0.187, Torque= 1.2812, Boost= -11.0254, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.547154, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 768.8827, Speed= 0, Power= 0.1874, Torque= 1.2812, Boost= -11.0253, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.562279, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 770.7244, Speed= 0, Power= 0.1879, Torque= 1.2812, Boost= -11.0252, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.579200, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 772.5638, Speed= 0, Power= 0.1883, Torque= 1.2812, Boost= -11.0252, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.595659, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 774.4055, Speed= 0, Power= 0.1888, Torque= 1.2812, Boost= -11.0251, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.612869, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 776.2506, Speed= 0, Power= 0.1892, Torque= 1.2812, Boost= -11.0251, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.628846, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 778.0922, Speed= 0, Power= 0.1897, Torque= 1.2812, Boost= -11.0251, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.645346, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 779.9321, Speed= 0, Power= 0.1901, Torque= 1.2812, Boost= -11.0251, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.662329, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 781.7751, Speed= 0, Power= 0.1906, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.679331, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 783.6119, Speed= 0, Power= 0.191, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.695369, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 785.4897, Speed= 0, Power= 0.1915, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.712358, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 787.3086, Speed= 0, Power= 0.1919, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.728891, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 789.1371, Speed= 0, Power= 0.1924, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.745380, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 790.9766, Speed= 0, Power= 0.1928, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.762377, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 792.819, Speed= 0, Power= 0.1933, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.778875, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 794.6598, Speed= 0, Power= 0.1937, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.795886, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 796.5041, Speed= 0, Power= 0.1942, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.812425, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 798.3418, Speed= 0, Power= 0.1946, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.828957, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1838, Speed= 0, Power= 0.1951, Torque= 1.2812, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.845937, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1801, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.862326, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1766, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.878973, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1731, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.895428, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1696, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.912442, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1661, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.928947, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1626, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.945922, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1592, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.961948, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1562, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.978879, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.1531, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.995355, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 800.15, Speed= 0, Power= 0, Torque= 0, Boost= -11.025, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
