Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EngineIdleRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel,roundedCurrentRPM,roundedPower,roundedTorque
1/31/2024 01:00:01,3655,6,807,1,8,9500,800,,52,0.0,0.0,0.0,3,0,0,0,0,0.0,3553,0,0
2024-02-16 23:42:31.028543,3655,6,807,1,8,9500,800,3556.8728,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3557,0,0
2024-02-16 23:35:29.468469,3655,6,807,1,8,9500,800,3561.3062,49,205.1909,304.8426,-3.7109,3,100,10,0,0,1.0,3561,205,305
1/31/2024 01:00:01,3655,6,807,1,8,9500,800,,56,201.1719,293.8429,0.0,3,0,0,0,0,0.0,3567,201,294
2024-02-16 23:46:29.922310,3655,6,807,1,8,9500,800,3572.769,53,0.0,0.0,-11.025,3,0,100,0,0,1.0,3573,0,0
2024-02-16 23:42:31.011947,3655,6,807,1,8,9500,800,3585.4556,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3585,0,0
2024-02-16 23:34:25.649779,3655,6,807,1,8,9500,800,3585.9277,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3586,0,0
2024-02-16 23:37:35.706687,3655,6,807,1,8,9500,800,3598.9976,53,0.0,0.0,-11.0233,3,0,100,0,0,1.0,3599,0,0
2024-02-16 23:46:29.905124,3655,6,807,1,8,9500,800,3608.5652,53,0.0,0.0,-11.025,3,0,100,0,0,1.0,3609,0,0
2024-02-16 23:34:25.632746,3655,6,807,1,8,9500,800,3611.6401,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3612,0,0
2024-02-16 23:42:30.995344,3655,6,807,1,8,9500,800,3616.0959,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3616,0,0
2024-02-16 23:35:29.268634,3655,6,807,1,8,9500,800,3626.4897,52,0.0,0.0,-11.0206,3,0,100,0,0,1.0,3626,0,0
2024-02-16 23:42:30.978796,3655,6,807,1,8,9500,800,3631.4883,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3631,0,0
2024-02-16 23:34:25.616205,3655,6,807,1,8,9500,800,3634.553,52,0.0,0.0,-11.025,3,0,100,0,0,1.0,3635,0,0
2024-02-16 23:46:29.888507,3655,6,807,1,8,9500,800,3636.4626,53,0.0,0.0,-11.025,3,0,100,0,0,1.0,3636,0,0
2024-02-16 23:35:29.152720,3655,6,807,1,8,9500,800,3641.8362,55,0.0,0.0,-10.9988,3,0,100,0,0,1.0,3642,0,0
2024-02-16 23:42:30.961725,3655,6,807,1,8,9500,800,3651.6614,52,0.0,0.0,-11.025,3,0,100,0,0,1.0,3652,0,0
2024-02-16 23:35:32.835310,3655,6,807,1,8,9500,800,3655.3245,53,0.0,0.0,-11.0248,3,0,100,0,0,1.0,3655,0,0
2024-02-16 23:37:35.689007,3655,6,807,1,8,9500,800,3656.0022,53,0.0,0.0,-11.0228,3,0,100,0,0,1.0,3656,0,0
2024-02-16 23:34:25.599594,3655,6,807,1,8,9500,800,3664.8552,52,0.0,0.0,-11.025,3,0,100,0,0,1.0,3665,0,0
